panel,configuration,macro_ap_seed_values,macro_ap_mean,macro_ap_sd,delta_vs_matched_full
score,Representation score,0.0354/0.0376/0.4496,0.1742002018617116,0.2385065680126758,
score,Reconstruction score,0.5610/0.5100/0.7329,0.6013235332095365,0.1168042256607909,
score,Prediction score,0.5806/0.5159/0.6891,0.5952035697666239,0.0875266655167135,
score,Representation + reconstruction,0.5440/0.4868/0.7325,0.5877586703741741,0.1286032839685862,
score,Representation + prediction,0.5467/0.4715/0.7026,0.5736249267401446,0.117836171865671,
score,Reconstruction + prediction,0.5756/0.5242/0.7268,0.6088606373609436,0.105320574066656,
score,All three scores,0.5645/0.5092/0.7373,0.6036605499707469,0.1189705320212792,
objective,Remove contrastive objective,0.7402/0.7411/0.7256,0.7356383803659104,0.0086666802086131,0.1267777430049668
objective,Remove reconstruction objective,0.6349/0.6807/0.6668,0.6608075572705776,0.0234794599485395,0.08718263053043296
objective,Remove prediction objective,0.5963/0.6341/0.5637,0.5980583270367433,0.0352231830299833,0.010299656662569268
