model,components,quantile,completed_seeds,seed_values,macro_average_precision_mean,macro_average_precision_sample_std,auroc_mean,auroc_sample_std,point_f1_mean,point_f1_sample_std,overlap_event_f1_mean,overlap_event_f1_sample_std,duration_precision_mean,duration_precision_sample_std,duration_recall_mean,duration_recall_sample_std,duration_f1_mean,duration_f1_sample_std,event_recall_10pct_mean,event_recall_10pct_sample_std,event_recall_50pct_mean,event_recall_50pct_sample_std,false_alarm_events_per_normal_hour_mean,false_alarm_events_per_normal_hour_sample_std,median_detection_delay_seconds_mean,median_detection_delay_seconds_sample_std
contrastive,representation,0.995,3,"17,42,2026",0.029695338648939546,0.01336816053586611,0.5077346123505055,0.0828306674860642,0.005883079547824866,0.002061934503464278,0.026360660531320523,0.0030234517431091774,0.022675238240951218,0.00407550110465353,0.003427592116538132,0.0013050392972047981,0.005883079547824866,0.002061934503464278,0.02,0.02,0.0,0.0,0.8837402496795549,0.5536532981684128,94.5,56.32716928800878
full,prediction,0.995,3,"17,42,2026",0.5952035697666239,0.08752666551671356,0.890020413339457,0.01321805517402502,0.3816316492150406,0.23000867170327477,0.024386728838750083,0.023934880052738233,0.3080972352111549,0.2643360480275075,0.6874930144182407,0.029644794225974613,0.3816316492150406,0.23000867170327477,0.9533333333333333,0.0305505046330389,0.7733333333333334,0.03055050463303896,66.234649854876,50.175600618708806,17.666666666666668,3.7859388972001824
full,reconstruction,0.995,3,"17,42,2026",0.6013235332095365,0.11680422566079096,0.8959750683958809,0.02173982287629542,0.29084222410191274,0.26563365693577073,0.024923393681395952,0.022674761967569932,0.21320016063238512,0.23910810457329956,0.8104392533810216,0.039157081460687776,0.29084222410191274,0.26563365693577073,0.9666666666666667,0.011547005383792525,0.8666666666666667,0.03055050463303896,57.04864393779161,36.257286224675205,5.333333333333333,1.5275252316519465
full,reconstruction+prediction,0.995,3,"17,42,2026",0.6088606373609436,0.105320574066656,0.8972138032398238,0.01981956375959331,0.3048143921541077,0.26957790392761,0.02440250234899484,0.01806928343673476,0.22914322333832446,0.25391029611491134,0.7932267799262323,0.03983019696568028,0.3048143921541077,0.26957790392761,0.96,0.020000000000000018,0.8533333333333334,0.050332229568471644,49.50168568101258,27.134355563090185,6.166666666666667,2.753785273643051
full,representation,0.995,3,"17,42,2026",0.17420020186171167,0.2385065680126758,0.7386994285256443,0.08741070060258625,0.17590495028414352,0.17814183413638543,0.15177714055606448,0.16694215933298806,0.11918558299182141,0.13866096814449758,0.5872732014455497,0.17340388908434895,0.17590495028414352,0.17814183413638543,0.8333333333333334,0.06110100926607787,0.58,0.26229754097208,10.014703521455164,7.50890278312612,45.0,11.034038245356955
full,representation+prediction,0.995,3,"17,42,2026",0.5736249267401446,0.11783617186567108,0.8872857615686547,0.024121408339347755,0.23083787111535273,0.1791414057789952,0.01226237152057577,0.005043332878508214,0.14749680544215657,0.13483244208001352,0.8086509444506538,0.040099955550771116,0.23083787111535273,0.1791414057789952,0.9533333333333333,0.0305505046330389,0.88,0.040000000000000036,80.72615519477706,28.51894665484022,10.333333333333334,6.171169527191205
full,representation+reconstruction,0.995,3,"17,42,2026",0.5877586703741741,0.1286032839685862,0.8948961308923291,0.025580949155512123,0.21004234876921382,0.16854871684898604,0.019760092461459697,0.007629269991173897,0.12965698173032913,0.11990177452372251,0.8525390261167617,0.02863396467533486,0.21004234876921382,0.16854871684898604,0.9733333333333333,0.011547005383792525,0.88,0.020000000000000018,49.2234145297294,16.830236616449998,4.666666666666667,3.7527767497325675
full,representation+reconstruction+prediction,0.99,3,"17,42,2026",0.6036605499707469,0.11897053202127922,0.8983922354209327,0.023086976969794424,0.17232489548410834,0.11743270462643525,0.011206909860773863,0.0018010106273293309,0.09984623040313934,0.07649252375736769,0.8744830669498156,0.03426836780559188,0.17232489548410834,0.11743270462643525,0.9733333333333333,0.011547005383792525,0.9133333333333334,0.030550504633038912,81.1970756046409,12.55497616264887,3.3333333333333335,3.511884584284246
full,representation+reconstruction+prediction,0.9925,3,"17,42,2026",0.6036605499707469,0.11897053202127922,0.8983922354209327,0.023086976969794424,0.19707676356933823,0.14814031788802345,0.01271488221637349,0.001081348093966434,0.11861962229039645,0.10191505739296121,0.8598040311463806,0.033198557720061826,0.19707676356933823,0.14814031788802345,0.9733333333333333,0.011547005383792525,0.9,0.03999999999999998,70.62277185588,6.412831269411932,3.3333333333333335,3.511884584284246
full,representation+reconstruction+prediction,0.995,3,"17,42,2026",0.6036605499707469,0.11897053202127922,0.8983922354209327,0.023086976969794424,0.23971729226895885,0.20250651008447124,0.01669698230214066,0.004230437121700578,0.1555157156973109,0.15428279598053526,0.8370030922841921,0.02504638556799548,0.23971729226895885,0.20250651008447124,0.9666666666666667,0.011547005383792525,0.88,0.020000000000000018,55.617535159763825,13.730956182574399,4.666666666666667,3.8837267325770144
