model,seed,components,quantile,file_id,scored_points,anomaly_points,threshold,average_precision,auroc,point_precision,point_recall,point_f1,tp,fp,tn,fn,reference_event_count,predicted_event_count,matched_reference_event_count,matched_predicted_event_count,missed_reference_event_count,false_predicted_event_count,overlap_event_precision,overlap_event_recall,overlap_event_f1,duration_precision,duration_recall,duration_f1,mean_reference_coverage,median_reference_coverage,mean_fragments_per_reference,false_alarm_events_per_normal_hour,median_detection_delay_seconds,detection_delay_iqr_seconds,events_covered_10pct,events_missed_10pct,event_recall_10pct,events_covered_50pct,events_missed_50pct,event_recall_50pct
contrastive,17,representation,0.995,test1,43074,629,2.6475188732147217,0.0238434739333892,0.6423710399748594,0.0,0.0,0.0,0,0,42445,629,5,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,5,0.0,0,5,0.0
contrastive,17,representation,0.995,test2,118674,3449,2.6475188732147217,0.0311181415731967,0.5230528468605017,0.0,0.0,0.0,0,286,114939,3449,20,10,0,0,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124321978737253,,,0,20,0.0,0,20,0.0
contrastive,17,representation,0.995,test3,107874,1535,2.6475188732147217,0.0878135225215384,0.7494761743625336,0.0,0.0,0.0,0,190,106149,1535,8,6,0,0,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2031239714497973,,,0,8,0.0,0,8,0.0
contrastive,17,representation,0.995,test4,39474,1157,2.6475188732147217,0.0298870706880898,0.5589501977645475,0.0,0.0,0.0,0,51,38266,1157,5,3,0,0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818592269749719,,,0,5,0.0,0,5,0.0
contrastive,17,representation,0.995,test5,92274,2177,2.6475188732147217,0.0527115927046368,0.5880036102976423,0.0746887966804979,0.0082682590721175,0.0148883374689826,18,223,89874,2159,12,12,1,1,11,11,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0746887966804979,0.0082682590721175,0.0148883374689826,0.0087209302325581,0.0,0.0833333333333333,0.4395262883336848,154.0,0.0,1,11,0.0833333333333333,0,12,0.0
contrastive,2026,representation,0.995,test1,43074,629,2.627103090286255,0.0116964224375501,0.4205747417259893,0.0,0.0,0.0,0,246,42199,629,5,31,0,0,5,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6292849570031804,,,0,5,0.0,0,5,0.0
contrastive,2026,representation,0.995,test2,118674,3449,2.627103090286255,0.0292576428921709,0.4836070853847097,0.0188383045525902,0.0034792693534357,0.0058737151248164,12,625,114600,3437,20,56,1,1,19,55,0.0178571428571428,0.05,0.0263157894736842,0.0188383045525902,0.0034792693534357,0.0058737151248164,0.0050420168067226,0.0,0.05,1.7183770883054894,42.0,0.0,1,19,0.05,0,20,0.0
contrastive,2026,representation,0.995,test3,107874,1535,2.627103090286255,0.0170237605718807,0.4892537855931401,0.0875,0.0136807817589576,0.0236619718309859,21,219,106120,1514,8,22,1,1,7,21,0.0454545454545454,0.125,0.0666666666666666,0.0875,0.0136807817589576,0.0236619718309859,0.0238636363636363,0.0,0.125,0.7109339000742907,1.0,0.0,1,7,0.125,0,8,0.0
contrastive,2026,representation,0.995,test4,39474,1157,2.627103090286255,0.0242822242446894,0.3250760176969771,0.0,0.0,0.0,0,203,38114,1157,5,17,0,0,5,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5972022861915076,,,0,5,0.0,0,5,0.0
contrastive,2026,representation,0.995,test5,92274,2177,2.627103090286255,0.0220393048089544,0.4703439567039595,0.0344827586206896,0.00367478180983,0.0066417600664176,8,224,89873,2169,12,25,1,1,11,24,0.04,0.0833333333333333,0.054054054054054,0.0344827586206896,0.00367478180983,0.0066417600664176,0.0043572984749455,0.0,0.0833333333333333,0.958966447273494,94.0,0.0,0,12,0.0,0,12,0.0
contrastive,42,representation,0.995,test1,43074,629,2.5369293689727783,0.0193320551839703,0.5576422569486258,0.0,0.0,0.0,0,60,42385,629,5,6,0,0,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088938626457769,,,0,5,0.0,0,5,0.0
contrastive,42,representation,0.995,test2,118674,3449,2.5369293689727783,0.0302863000452661,0.4845494082606289,0.0789473684210526,0.0052189040301536,0.0097905901550176,18,210,115015,3431,20,16,1,1,19,15,0.0625,0.05,0.0555555555555555,0.0789473684210526,0.0052189040301536,0.0097905901550176,0.003515625,0.0,0.05,0.468648296810588,166.0,0.0,0,20,0.0,0,20,0.0
contrastive,42,representation,0.995,test3,107874,1535,2.5369293689727783,0.0137421459182939,0.4660689847749835,0.0,0.0,0.0,0,970,105369,1535,8,49,0,0,8,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6588457668400116,,,0,8,0.0,0,8,0.0
contrastive,42,representation,0.995,test4,39474,1157,2.5369293689727783,0.0260143279142536,0.3288271368747573,0.0344036697247706,0.0129645635263612,0.0188323917137476,15,421,37896,1142,5,29,1,1,4,28,0.0344827586206896,0.2,0.0588235294117647,0.0344036697247706,0.0129645635263612,0.0188323917137476,0.0116279069767441,0.0,0.2,2.630686118433071,9.0,0.0,0,5,0.0,0,5,0.0
contrastive,42,representation,0.995,test5,92274,2177,2.5369293689727783,0.0263820942962122,0.5054511044542617,0.0,0.0,0.0,0,112,89985,2177,12,13,0,0,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5194401589398093,,,0,12,0.0,0,12,0.0
full,17,prediction,0.995,test1,43074,629,6.383033275604248,0.7147887157237319,0.9584403158225336,0.294578313253012,0.7774244833068362,0.4272608125819135,489,1171,41274,140,5,407,5,5,0,402,0.0122850122850122,1.0,0.0242718446601941,0.294578313253012,0.7774244833068362,0.4272608125819135,0.7712244923102298,0.9105263157894736,3.8,34.09588879726705,18.0,20.0,5,0,1.0,4,1,0.8
full,17,prediction,0.995,test2,118674,3449,6.383033275604248,0.4488033108032607,0.8636040092244547,0.4258229021789522,0.5326181501884604,0.4732706427927347,1837,2477,112748,1612,20,1281,19,19,1,1262,0.0148321623731459,0.95,0.0292083013066871,0.4258229021789522,0.5326181501884604,0.4732706427927347,0.537325930296105,0.5438905291846469,6.2,39.42894337166414,30.0,39.0,18,2,0.9,11,9,0.55
full,17,prediction,0.995,test3,107874,1535,6.383033275604248,0.6696240687415772,0.9506672793386206,0.2818494835218888,0.7465798045602606,0.4092126405998929,1146,2920,103419,389,8,1128,8,8,0,1120,0.0070921985815602,1.0,0.0140845070422535,0.2818494835218888,0.7465798045602606,0.4092126405998929,0.7471547553444713,0.885705031310732,2.25,37.91647467062884,5.0,15.25,8,0,1.0,6,2,0.75
full,17,prediction,0.995,test4,39474,1157,6.383033275604248,0.4727200272626956,0.8390153680678055,0.07269060104881,0.7787381158167676,0.1329693034238488,901,11494,26823,256,5,2097,5,5,0,2092,0.0023843586075345,1.0,0.0047573739295908,0.07269060104881,0.7787381158167676,0.1329693034238488,0.7886967264459538,0.8015267175572519,9.6,196.54983427721376,23.0,15.0,5,0,1.0,5,0,1.0
full,17,prediction,0.995,test5,92274,2177,6.383033275604248,0.5968535516159538,0.9140551874655136,0.225608051439754,0.7413872301332108,0.3459436287643339,1614,5540,84557,563,12,2274,12,12,0,2262,0.0052770448548812,1.0,0.0104986876640419,0.225608051439754,0.7413872301332108,0.3459436287643339,0.7746283535714594,0.8882315521628499,7.25,90.38258765552682,9.0,32.25,12,0,1.0,11,1,0.9166666666666666
full,17,reconstruction,0.995,test1,43074,629,4.721846580505371,0.711375163122304,0.9554374959383516,0.1237069875448596,0.931637519872814,0.2184122251211331,586,4151,38294,43,5,652,5,5,0,647,0.0076687116564417,1.0,0.015220700152207,0.1237069875448596,0.931637519872814,0.2184122251211331,0.9242658009389444,0.9550561797752808,1.0,54.87572152196961,4.0,13.0,5,0,1.0,5,0,1.0
full,17,reconstruction,0.995,test2,118674,3449,4.721846580505371,0.4485117411835723,0.8724757522768776,0.1457894736842105,0.722818208176283,0.2426395445033821,2493,14607,100618,956,20,1710,20,20,0,1690,0.0116959064327485,1.0,0.0231213872832369,0.1457894736842105,0.722818208176283,0.2426395445033821,0.7096613692338521,0.8013941208667374,3.3,52.80104144065958,21.0,29.5,18,2,0.9,16,4,0.8
full,17,reconstruction,0.995,test3,107874,1535,4.721846580505371,0.6644543961549408,0.9655251000633368,0.1177748804867448,0.8827361563517915,0.2078220858895705,1355,10150,96189,180,8,867,8,8,0,859,0.0092272202998846,1.0,0.0182857142857142,0.1177748804867448,0.8827361563517915,0.2078220858895705,0.8944278170132229,0.9876114081996434,3.0,29.080581912562653,0.0,0.5,8,0,1.0,7,1,0.875
full,17,reconstruction,0.995,test4,39474,1157,4.721846580505371,0.4104397513197156,0.824143141160436,0.0453686976515027,0.9550561797752808,0.0866225061733234,1105,23251,15066,52,5,2135,5,5,0,2130,0.0023419203747072,1.0,0.0046728971962616,0.0453686976515027,0.9550561797752808,0.0866225061733234,0.957728535500415,0.9695817490494296,5.0,200.12005115223008,8.0,3.0,5,0,1.0,5,0,1.0
full,17,reconstruction,0.995,test5,92274,2177,4.721846580505371,0.5703220934486971,0.912588315408684,0.0686755926096018,0.8929719797887,0.1275423172811967,1944,26363,63734,233,12,2197,12,12,0,2185,0.0054619936276741,1.0,0.0108646446355817,0.0686755926096018,0.8929719797887,0.1275423172811967,0.9082138079309916,0.9722328244274808,1.9166666666666667,87.30590363719102,1.5,5.0,12,0,1.0,12,0,1.0
